id,origen,destino,tiempoViaje,capacidad,distancia
R0102,SITP130A07,SITP057A07,1,2000,362
R0103,SITP057A07,SITP343B07,1,2000,407
R0104,SITP343B07,SITP129A07,1,2000,534
R0105,SITP129A07,SITP040A07,1,2000,673
R0106,SITP040A07,SITP148A07,1,2000,1023
R0107,SITP148A07,SITP636B08,1,2000,631
R0108,SITP636B08,SITP636A08,1,2000,67
R0109,SITP636A08,SITP210A08,1,2000,473
R0110,SITP210A08,SITP111A08,1,2000,344
R0111,SITP111A08,SITP027A08,1,2000,327
R0112,SITP027A08,SITP025B08,1,2000,499
R0113,SITP025B08,SITP663A08,1,2000,554
R0114,SITP663A08,SITP019A08,1,2000,721
R0115,SITP019A08,SITP016A08,1,2000,647
R0116,SITP016A08,SITP292A09,1,2000,409
R0117,SITP292A09,SITP547A09,1,2000,272
R0118,SITP547A09,SITP552A09,1,2000,248
R0119,SITP552A09,SITP284A09,1,2000,348
R0120,SITP284A09,SITP265A09,1,2000,378
R0121,SITP265A09,SITP266A09,1,2000,74
R0122,SITP266A09,SITP256A09,1,2000,382
R0123,SITP256A09,SITP498A09,1,2000,154
R0124,SITP498A09,SITP254A09,1,2000,221
R0125,SITP254A09,SITP259A09,1,2000,208
R0126,SITP259A09,SITP260A09,1,2000,28
R0127,SITP260A09,SITP261A09,1,2000,298
R0128,SITP261A09,SITP270A09,1,2000,248
R0129,SITP270A09,SITP276B09,1,2000,321
R0130,SITP276B09,SITP285A08,1,2000,532
R0131,SITP285A08,SITP534A09,1,2000,915
R0132,SITP534A09,SITP643A08,1,2000,36
R0133,SITP577A09,SITP578A09,1,2000,227
R0134,SITP578A09,SITP482A09,1,2000,215
R0135,SITP482A09,SITP172A09,1,2000,210
R0136,SITP172A09,SITP178A09,1,2000,254
R0137,SITP178A09,SITP069A09,1,2000,266
R0138,SITP069A09,SITP220A09,1,2000,160
R0139,SITP220A09,SITP074A09,1,2000,530
R0140,SITP074A09,SITP052C09,1,2000,103
R0141,SITP052C09,SITP520B09,1,2000,224
R0142,SITP520B09,SITP102A09,1,2000,324
R0143,SITP102A09,SITP101A09,1,2000,504
R0144,SITP101A09,SITP337A09,1,2000,380
R0145,SITP337A09,SITP166A08,1,2000,120
R0146,SITP166A08,SITP661A09,1,2000,242
R0147,SITP661A09,SITP029B09,1,2000,230
R0148,SITP029B09,SITP026B09,1,2000,447
R0149,SITP026B09,SITP026A09,1,2000,21
R0150,SITP026A09,SITP169B08,1,2000,159
R0151,SITP169B08,SITP107A09,1,2000,170
R0152,SITP107A09,SITP180A08,1,2000,201
R0153,SITP180A08,SITP621A09,1,2000,104
R0154,SITP621A09,SITP108A09,1,2000,284
R0155,SITP108A09,SITP106A09,1,2000,295
R0156,SITP106A09,SITP103A09,1,2000,287
R0157,SITP103A09,SITP030A09,1,2000,127
R0158,SITP030A09,SITP183B08,1,2000,415
R0159,SITP183B08,SITP184B08,1,2000,419
R0160,SITP184B08,SITP185A08,1,2000,265
R0161,SITP185A08,SITP519A09,1,2000,196
R0162,SITP519A09,SITP014C09,1,2000,270
R0163,SITP014C09,SITP159A08,1,2000,305
R0164,SITP159A08,SITP158A08,1,2000,282
R0165,SITP158A08,SITP209D08,1,2000,523
R0166,SITP209D08,SITP154D08,1,2000,474
R0167,SITP154D08,SITP061B09,1,2000,615
R0168,SITP061B09,SITP095A09,1,2000,281
R0169,SITP095A09,SITP025A09,1,2000,425
R0170,SITP025A09,SITP207A08,1,2000,279
R0171,SITP207A08,SITP094A09,1,2000,119
R0172,SITP094A09,SITP324A10,1,2000,548
R0173,SITP324A10,SITP076B10,1,2000,92
R0174,SITP076B10,SITP086A10,1,2000,715
R0175,SITP086A10,SITP109A11,1,2000,689
R0176,SITP109A11,SITP111B11,1,2000,462
R0177,SITP111B11,SITP080B12,1,2000,377
R0178,SITP080B12,SITP082B12,1,2000,299
R0179,SITP082B12,SITP084A12,1,2000,456
R0180,SITP084A12,SITP100A13,1,2000,199
R0181,SITP100A13,SITP102B13,1,2000,216
R0182,SITP102B13,SITP104A13,1,2000,230
R0183,SITP104A13,SITP001A13,1,2000,179
R0184,SITP001A13,SITP106A13,1,2000,277
R0185,SITP106A13,SITP105A13,1,2000,78
R0186,SITP105A13,SITP006A13,1,2000,134
R0187,SITP006A13,SITP098A13,1,2000,270
R0188,SITP098A13,SITP097A13,1,2000,74
R0189,SITP097A13,SITP253A13,1,2000,111
R0190,SITP253A13,SITP235A13,1,2000,296
R0191,SITP235A13,SITP236A13,1,2000,94
R0192,SITP236A13,SITP421A13,1,2000,206
R0193,SITP421A13,SITP231A13,1,2000,153
R0194,SITP231A13,SITP232A13,1,2000,27
R0195,SITP205A06,SITP407A06,1,2000,716
R0196,SITP407A06,SITP020A07,1,2000,497
R0197,SITP020A07,SITP340A07,1,2000,293
R0198,SITP340A07,SITP095D07,1,2000,310
R0199,SITP095D07,SITP023A06,1,2000,369
R0200,SITP023A06,SITP023B07,1,2000,808
R0201,SITP023B07,SITP065A07,1,2000,375
R0202,SITP065A07,SITP333A07,1,2000,579
R0203,SITP333A07,TM05105,1,2000,404
R0204,TM05105,TM05107,1,2000,789
R0205,TM05107,SITP002A07,1,2000,454
R0206,SITP002A07,SITP109A07,1,2000,767
R0207,SITP109A07,SITP112A07,1,2000,407
R0208,SITP112A07,SITP117A07,1,2000,652
R0209,SITP117A07,SITP031A07,1,2000,527
R0210,SITP031A07,SITP008A00,1,2000,319
R0211,SITP008A00,SITP059A00,1,2000,198
R0212,SITP059A00,SITP323B00,1,2000,300
R0213,SITP323B00,SITP011B00,1,2000,384
R0214,SITP011B00,SITP206A00,1,2000,214
R0215,SITP206A00,SITP205A00,1,2000,373
R0216,SITP205A00,SITP113A11,1,2000,189
R0217,SITP113A11,SITP013A11,1,2000,324
R0218,SITP013A11,SITP029A11,1,2000,373
R0219,SITP029A11,SITP015A11,1,2000,448
R0220,SITP015A11,SITP103A11,1,2000,332
R0221,SITP103A11,SITP104A11,1,2000,284
R0222,SITP104A11,SITP082A12,1,2000,568
R0223,SITP082A12,SITP085A12,1,2000,336
R0224,SITP085A12,SITP359A12,1,2000,289
R0225,SITP359A12,SITP066A13,1,2000,710
R0226,SITP066A13,SITP096A13,1,2000,274
R0227,SITP096A13,SITP072A12,1,2000,147
R0228,SITP072A12,SITP305A12,1,2000,96
R0229,SITP305A12,SITP068A13,1,2000,107
R0230,SITP068A13,SITP403A12,1,2000,438
R0231,SITP403A12,SITP402A12,1,2000,40
R0232,SITP402A12,SITP527A12,1,2000,230
R0233,SITP527A12,SITP069A12,1,2000,407
R0234,SITP069A12,SITP068A12,1,2000,36
R0235,SITP068A12,SITP071A12,1,2000,438
R0236,SITP071A12,SITP516A12,1,2000,271
R0237,SITP516A12,SITP278A12,1,2000,232
R0238,SITP278A12,SITP293A12,1,2000,395
R0239,SITP293A12,SITP018A12,1,2000,124
R0240,SITP018A12,SITP439A12,1,2000,116
R0241,SITP439A12,SITP266A12,1,2000,164
R0242,SITP266A12,SITP251A12,1,2000,246
R0243,SITP251A12,SITP243A12,1,2000,183
R0244,SITP243A12,SITP248A12,1,2000,420
R0245,SITP248A12,SITP247A12,1,2000,22
R0246,SITP247A12,SITP341A12,1,2000,231
R0247,SITP341A12,SITP240A12,1,2000,217
R0248,SITP240A12,SITP237A12,1,2000,309
R0249,SITP237A12,SITP238A12,1,2000,69
R0250,SITP238A12,SITP234A12,1,2000,311
R0251,SITP234A12,SITP429A12,1,2000,162
R0252,SITP429A12,SITP224A12,1,2000,90
R0253,SITP224A12,SITP221A12,1,2000,537
R0254,SITP221A12,SITP123A12,1,2000,282
R0255,SITP123A12,SITP009A12,1,2000,312
R0256,SITP009A12,SITP011A12,1,2000,348
R0257,SITP011A12,SITP029A12,1,2000,437
R0258,SITP029A12,SITP030B12,1,2000,165
R0259,SITP030B12,SITP032A12,1,2000,245
R0260,SITP032A12,SITP034B12,1,2000,461
R0261,SITP034B12,SITP036A12,1,2000,128
R0262,SITP036A12,SITP196A12,1,2000,161
R0263,SITP196A12,SITP037B12,1,2000,135
R0264,SITP037B12,SITP037A12,1,2000,136
R0265,SITP037A12,SITP499A12,1,2000,92
R0266,SITP499A12,SITP039A12,1,2000,282
R0267,SITP039A12,SITP040B12,1,2000,83
R0268,SITP040B12,SITP042A12,1,2000,199
R0269,SITP042A12,SITP195A12,1,2000,358
R0270,SITP195A12,SITP472A12,1,2000,269
R0271,SITP472A12,SITP203A12,1,2000,239
R0272,SITP203A12,SITP208A12,1,2000,498
R0273,SITP208A12,SITP523A12,1,2000,116
R0274,SITP523A12,SITP524A12,1,2000,262
R0275,SITP578A13,SITP195A13,1,2000,282
R0276,SITP195A13,SITP065A12,1,2000,323
R0277,SITP065A12,SITP451A12,1,2000,1041
R0278,SITP451A12,SITP450A12,1,2000,350
R0279,SITP450A12,SITP445A12,1,2000,973
R0280,SITP445A12,TM10010,1,2000,589
R0281,TM10010,TM10005,1,2000,507
R0282,TM10005,SITP066A00,1,2000,74
R0283,SITP066A00,TM10006,1,2000,855
R0284,TM10006,SITP812A00,1,2000,629
R0285,SITP812A00,SITP654A00,1,2000,451
R0286,SITP654A00,SITP814A00,1,2000,281
R0287,SITP814A00,TM10009,1,2000,486
R0288,TM10009,SITP675A00,1,2000,105
R0289,SITP675A00,SITP674A00,1,2000,382
R0290,SITP674A00,SITP240A00,1,2000,212
R0291,SITP240A00,SITP872A00,1,2000,678
R0292,SITP872A00,SITP277A00,2,2000,1349
R0293,SITP277A00,SITPBD-007A,1,2000,329
R0294,SITPBD-007A,SITP820A00,1,2000,334
R0295,SITP820A00,SITPBD-012A,1,2000,771
R0296,SITPBD-012A,SITP375A00,1,2000,462
R0297,SITP375A00,SITPBD-013A,1,2000,120
R0298,SITPBD-013A,SITPBD-016B,1,2000,485
R0299,SITPBD-016B,SITPBD-017B,1,2000,478
R0300,SITPBD-017B,SITP049A00,1,2000,209
R0301,SITP049A00,SITP367A00,1,2000,102
R0302,SITP367A00,SITP368A00,1,2000,136
R0303,SITP368A00,SITP366A00,1,2000,262
R0304,SITP366A00,SITP707A00,1,2000,1063
R0305,SITP707A00,SITP680A00,1,2000,67
R0306,SITP680A00,SITP754A00,1,2000,389
R0307,SITP754A00,SITP169A00,1,2000,538
R0308,SITP169A00,SITP588A00,1,2000,182
R0309,SITP588A00,SITP423A04,1,2000,635
R0310,SITP423A04,TM04107,1,2000,112
R0311,TM04107,SITP555A03,1,2000,513
R0312,SITP555A03,TM04105,1,2000,583
R0313,TM04105,TM04104,1,2000,604
R0314,TM04104,SITP415A04,1,2000,1146
R0315,SITP415A04,SITP077A04,1,2000,552
R0316,SITP077A04,SITP414A04,1,2000,352
R0317,SITP414A04,SITP425A04,1,2000,347
R0318,SITP425A04,SITP411A04,1,2000,673
R0319,SITP411A04,TM04002,1,2000,324
R0320,TM04002,TM04001,1,2000,515
R0321,TM04001,SITP016A04,1,2000,478
R0322,SITP016A04,SITP321A04,1,2000,565
R0323,SITP321A04,SITP084A04,1,2000,526
R0324,SITP084A04,SITP137A04,1,2000,787
R0325,SITP137A04,SITP396A04,1,2000,500
R0326,SITP172A11,SITP175A11,1,2000,185
R0327,SITP175A11,SITP183A11,1,2000,263
R0328,SITP183A11,SITP182A11,1,2000,82
R0329,SITP182A11,SITP202A11,1,2000,194
R0330,SITP202A11,SITP181B11,1,2000,155
R0331,SITP181B11,SITP180A11,1,2000,312
R0332,SITP180A11,SITP163A11,1,2000,68
R0333,SITP163A11,SITP161A11,1,2000,193
R0334,SITP161A11,SITP166A11,1,2000,381
R0335,SITP166A11,SITP328A10,1,2000,350
R0336,SITP328A10,SITP326A10,1,2000,183
R0337,SITP326A10,SITP109A10,1,2000,323
R0338,SITP109A10,SITP111A10,1,2000,236
R0339,SITP111A10,SITP112A10,1,2000,17
R0340,SITP111A10,SITP301A10,1,2000,263
R0341,SITP301A10,SITP041A10,1,2000,136
R0342,SITP041A10,SITP065A10,1,2000,272
R0343,SITP065A10,SITP067A10,1,2000,381
R0344,SITP067A10,SITP068A10,1,2000,456
R0345,SITP068A10,SITP069A10,1,2000,22
R0346,SITP069A10,SITP071C10,1,2000,432
R0347,SITP071C10,SITP014B10,1,2000,574
R0348,SITP014B10,SITP014A10,1,2000,103
R0349,SITP014A10,SITP013A10,1,2000,874
R0350,SITP013A10,SITP316B10,1,2000,89
R0351,SITP316B10,SITP013B10,1,2000,49
R0352,SITP013B10,SITP012A10,1,2000,163
R0353,SITP012A10,SITP008A10,1,2000,507
R0354,SITP008A10,SITP035B10,1,2000,284
R0355,SITP035B10,SITP049A10,1,2000,333
R0356,SITP049A10,SITP033B10,1,2000,313
R0357,SITP033B10,SITP031A10,1,2000,365
R0358,SITP031A10,SITP001A09,1,2000,510
R0359,SITP001A09,SITP083A09,1,2000,306
R0360,SITP083A09,SITP085A09,1,2000,317
R0361,SITP085A09,SITP114A09,1,2000,324
R0362,SITP114A09,SITP087C09,1,2000,49
R0363,SITP087C09,SITP087A09,1,2000,148
R0364,SITP087A09,SITP088C09,1,2000,163
R0365,SITP088C09,SITP154D08,1,2000,266
R0366,SITP154D08,SITP154C08,1,2000,100
R0367,SITP154C08,SITP154A08,1,2000,83
R0368,SITP154A08,SITP155D08,1,2000,402
R0369,SITP155D08,SITP156D08,1,2000,528
R0370,SITP156D08,SITP098D07,1,2000,518
R0371,SITP098D07,SITP091D07,1,2000,681
R0372,SITP091D07,SITP096D07,1,2000,350
R0373,SITP096D07,SITP094A07,1,2000,565
R0374,SITP094A07,SITP002B06,1,2000,692
R0375,SITP002B06,SITP130D06,1,2000,1197
R0376,SITP130D06,SITP131D06,1,2000,303
R0377,SITP443A05,SITP117D05,1,2000,818
R0378,SITP117D05,SITP121D05,1,2000,1195
R0379,SITP121D05,SITP122A05,1,2000,553
R0380,SITP122A05,SITP015C04,1,2000,754
R0381,SITP015C04,SITP001B04,1,2000,732
R0382,SITP001B04,SITP176C03,1,2000,366
R0383,SITP176C03,SITP174B03,1,2000,653
R0384,SITP174B03,SITP224A03,1,2000,104
R0385,SITP224A03,SITP221A03,1,2000,247
R0386,SITP221A03,SITP219A03,1,2000,393
R0387,SITP219A03,SITP226A03,1,2000,560
R0388,SITP226A03,SITP236A03,1,2000,252
R0389,TM07503,TM07504,1,2000,736
R0390,TM07504,TM07505,1,2000,792
R0391,TM07505,TM07506,1,2000,618
R0392,TM07506,SITP523A09,1,2000,799
R0393,SITP523A09,SITP175A10,1,2000,311
R0394,SITP175A10,SITP291A10,1,2000,737
R0395,SITP291A10,SITP406A10,1,2000,229
R0396,SITP406A10,SITP042A10,1,2000,400
R0397,SITP042A10,SITP064A09,1,2000,556
R0398,SITP064A09,SITP043A10,1,2000,614
R0399,SITP043A10,SITP616A09,1,2000,394
R0400,SITP616A09,TM07003,1,2000,643
R0401,TM07003,TM07004,1,2000,530
R0402,TM07004,SITP302B10,1,2000,539
R0403,SITP302B10,SITP636A09,1,2000,784
R0404,SITP636A09,SITP409A10,1,2000,300
R0405,SITP409A10,SITP078A09,1,2000,739
R0406,SITP078A09,SITP583A08,1,2000,1033
R0407,SITP583A08,SITP109A08,1,2000,628
R0408,SITP109A08,SITP128A00,1,2000,470
R0409,SITP128A00,TM07112,1,2000,621
R0410,TM07112,SITP008A00,1,2000,386
R0411,SITP008A00,SITP352A07,1,2000,342
R0412,SITP352A07,SITP693A00,1,2000,448
R0413,SITP693A00,TM07110,1,2000,706
R0414,TM07110,TM07109,1,2000,935
R0415,TM07109,SITP401A06,1,2000,293
R0416,SITP401A06,SITP695A00,1,2000,496
R0417,SITP695A00,SITP125A00,1,2000,273
R0418,SITP125A00,SITP176A00,1,2000,479
R0419,SITP176A00,SITP776A00,1,2000,623
R0420,SITP776A00,TM07106,1,2000,440
R0421,TM07106,TM07105,1,2000,517
R0422,TM07105,TM07104,1,2000,810
R0423,TM07104,SITP772A00,1,2000,886
R0424,SITP772A00,TM07103,1,2000,180
R0425,TM07103,TM07102,1,2000,556
R0426,TM07102,TM07101,1,2000,973
R0427,TM07101,SITP669A00,1,2000,546
R0428,SITP669A00,SITP124A00,1,2000,186
R0429,SITP124A00,SITP290A00,1,2000,302
R0430,SITP290A00,SITP840A00,1,2000,328
R0431,SITP840A00,TM02300,1,2000,154
R0432,TM02300,TM02205,1,2000,1018
R0433,TM02205,TM02204,1,2000,580
R0434,TM02204,TM02202,1,2000,734
R0435,TM02202,SITP634A01,1,2000,958
R0436,SITP634A01,SITP193A02,1,2000,779
R0437,SITP193A02,SITP636A01,1,2000,275
R0438,SITP636A01,SITP320A02,1,2000,102
R0439,SITP320A02,SITP638A01,1,2000,589
R0440,SITP638A01,SITP318A02,1,2000,521
R0441,SITP318A02,TM02102,1,2000,1102
R0442,TM02102,SITP676A01,1,2000,448
R0443,SITP676A01,SITP070A02,1,2000,280
R0444,SITP070A02,SITP144B01,1,2000,702
R0445,SITP144B01,SITP087A02,1,2000,169
R0446,SITP087A02,SITP145A01,1,2000,177
R0447,SITP134A11,SITP575A11,1,2000,501
R0448,SITP575A11,SITP576A11,1,2000,39
R0449,SITP576A11,SITP141A11,1,2000,203
R0450,SITP141A11,SITP142A11,1,2000,21
R0451,SITP142A11,SITP144A11,1,2000,325
R0452,SITP144A11,SITP145A11,1,2000,220
R0453,SITP145A11,SITP147B11,1,2000,134
R0454,SITP147B11,SITP147A11,1,2000,103
R0455,SITP147A11,SITP148A11,1,2000,91
R0456,SITP148A11,SITP149A11,1,2000,217
R0457,SITP149A11,SITP460A11,1,2000,45
R0458,SITP460A11,SITP262A11,1,2000,187
R0459,SITP262A11,SITP269A11,1,2000,324
R0460,SITP269A11,SITP268B11,1,2000,47
R0461,SITP268B11,SITP272A11,1,2000,214
R0462,SITP272A11,SITP271B11,1,2000,114
R0463,SITP271B11,SITP276A11,1,2000,166
R0464,SITP276A11,SITP590A11,1,2000,272
R0465,SITP590A11,SITP302A11,1,2000,118
R0466,SITP302A11,SITP328B11,1,2000,136
R0467,SITP328B11,SITP330B11,1,2000,231
R0468,SITP330B11,SITP007A11,1,2000,231
R0469,SITP007A11,SITP009A11,1,2000,246
R0470,SITP009A11,SITP006B11,1,2000,236
R0471,SITP006B11,SITP005A11,1,2000,492
R0472,SITP005A11,SITP002C11,1,2000,171
R0473,SITP002C11,SITP002A11,1,2000,264
R0474,SITP002A11,SITP593A11,1,2000,577
R0475,SITP593A11,TM08000,1,2000,374
R0476,TM08000,SITP418A11,1,2000,277
R0477,SITP418A11,SITP026A11,1,2000,766
R0478,SITP026A11,SITP121A11,1,2000,422
R0479,SITP121A11,SITP075A11,1,2000,125
R0480,SITP075A11,SITP060B11,1,2000,93
R0481,SITP060B11,SITP419B11,1,2000,75
R0482,SITP419B11,SITP071A11,1,2000,358
R0483,SITP071A11,SITP023A11,1,2000,466
R0484,SITP023A11,SITP018A10,1,2000,71
R0485,SITP018A10,SITP017A10,1,2000,294
R0486,SITP017A10,SITP165A10,1,2000,88
R0487,SITP165A10,SITP164A10,1,2000,168
R0488,SITP164A10,SITP403A10,1,2000,369
R0489,SITP403A10,SITP070A10,1,2000,233
R0490,SITP070A10,SITP319B10,1,2000,164
R0491,SITP319B10,SITP023A10,1,2000,355
R0492,SITP023A10,SITP024A10,1,2000,507
R0493,SITP024A10,SITP038A10,1,2000,423
R0494,SITP038A10,SITP346A00,1,2000,512
R0495,SITP346A00,SITP110A08,1,2000,427
R0496,SITP110A08,TM07112,1,2000,537
R0497,SITP352A07,SITP180A00,1,2000,170
R0498,SITP180A00,SITP070A07,1,2000,105
R0499,SITP070A07,SITP693A00,1,2000,196
R0500,SITP693A00,SITP839A00,1,2000,334
R0501,SITP839A00,TM07110,1,2000,372
R0502,TM07110,SITP126A00,1,2000,147
R0503,SITP126A00,SITP009A00,1,2000,348
R0504,SITP009A00,SITP209A00,1,2000,292
R0505,SITP209A00,SITP175A00,1,2000,312
R0506,SITP175A00,SITP694A00,1,2000,174
R0507,SITP694A00,SITP457A05,1,2000,233
R0508,SITP457A05,SITP076A05,1,2000,324
R0509,SITP076A05,SITP513A00,1,2000,273
R0510,SITP513A00,SITP176A00,1,2000,436
R0511,TM07106,SITP181A00,1,2000,688
R0512,SITP181A00,TM07104,1,2000,639
R0513,SITP772A00,SITP178A00,1,2000,352
R0514,SITP178A00,SITP179A00,1,2000,469
R0515,SITP179A00,SITP554A03,1,2000,538
R0516,SITP554A03,SITP770A00,1,2000,388
R0517,SITP770A00,SITP592A00,1,2000,276
R0518,SITP592A00,SITP123A00,1,2000,347
R0519,SITP123A00,SITP124A00,1,2000,233
R0520,SITP124A00,SITP289A00,1,2000,460
R0521,SITP289A00,SITP291A00,1,2000,220
R0522,SITP291A00,SITP622A00,1,2000,384
R0523,SITP622A00,SITP799A00,1,2000,43
R0524,SITP799A00,SITP094A00,1,2000,258
R0525,SITP094A00,SITP277B01,1,2000,302
R0526,SITP277B01,SITP191A01,1,2000,287
R0527,SITP191A01,SITP015A01,1,2000,291
R0528,SITP015A01,SITP192A01,1,2000,302
R0529,SITP192A01,SITP014A01,1,2000,51
R0530,SITP014A01,SITP193A01,1,2000,162
R0531,SITP193A01,SITP8488,1,2000,158
R0532,SITP8488,SITP194A01,1,2000,34
R0533,SITP194A01,SITP195A01,1,2000,241
R0534,SITP195A01,SITPBD-056A,1,2000,254
R0535,SITPBD-056A,SITP055A01,1,2000,296
R0536,SITP055A01,SITP196A01,1,2000,43
R0537,SITP196A01,SITP197A01,1,2000,310
R0538,SITP197A01,SITP013A01,1,2000,63
R0539,SITP013A01,SITP012A01,1,2000,302
R0540,SITP012A01,SITP199A01,1,2000,296
R0541,SITP199A01,SITP200A01,1,2000,540
R0542,SITP200A01,SITP202A01,1,2000,308
R0543,SITP202A01,SITP084A01,1,2000,232
R0544,SITP084A01,SITP204A01,1,2000,239
R0545,SITP204A01,SITP052A01,1,2000,252
R0546,SITP052A01,SITP205A01,1,2000,219
R0547,SITP205A01,SITP206A01,1,2000,211
R0548,SITP206A01,SITP207A01,1,2000,270
R0549,SITP207A01,SITP115A01,1,2000,296
R0550,SITP115A01,SITP008A01,1,2000,363
R0551,SITP008A01,SITP009A01,1,2000,41
R0552,SITP009A01,SITP394A01,1,2000,393
R0553,SITP394A01,SITP573A01,1,2000,399
R0554,SITP573A01,SITP346A01,1,2000,255
R0555,SITP346A01,SITP272A01,1,2000,178
R0556,SITP272A01,SITP124A01,1,2000,135
R0557,SITP124A01,SITP273A01,1,2000,205
R0558,SITP273A01,SITP601A01,1,2000,313
R0559,SITP601A01,SITP675A01,1,2000,231
R0560,SITP675A01,SITP104A01,1,2000,477
R0561,SITP104A01,SITP378A01,1,2000,258
R0562,SITP378A01,SITP384A01,1,2000,299
